"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason"
"zurich","zurich:CH1201>CH261:car:inbound","CH1201","Altdorf (UR)","CH261","Zürich","car","inbound","swissInbound","18","FSO commune matrix 2020","missing","55.03001629364181","","","","false","",""
"zurich","zurich:CH1201>CH261:transit:inbound","CH1201","Altdorf (UR)","CH261","Zürich","transit","inbound","swissInbound","45","FSO commune matrix 2020","rail","55.03001629364181","70.60873274830094","","","false","",""
"zurich","zurich:CH1201>CH261:soft:inbound","CH1201","Altdorf (UR)","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","55.03001629364181","","","","false","",""
"zurich","zurich:CH1341>CH261:car:inbound","CH1341","Altendorf","CH261","Zürich","car","inbound","swissInbound","189","FSO commune matrix 2020","road","31.272579716548652","39.717204394843144","2484.957","0.00838860666443266","false","",""
"zurich","zurich:CH1341>CH261:transit:inbound","CH1341","Altendorf","CH261","Zürich","transit","inbound","swissInbound","466","FSO commune matrix 2020","rail","31.272579716548652","36.908847164837226","","","false","",""
"zurich","zurich:CH1341>CH261:soft:inbound","CH1341","Altendorf","CH261","Zürich","soft","inbound","swissInbound","14","FSO commune matrix 2020","missing","31.272579716548652","","","","false","",""
"zurich","zurich:CH211>CH261:car:inbound","CH211","Altikon","CH261","Zürich","car","inbound","swissInbound","10","FSO commune matrix 2020","missing","28.942088465230984","","","","false","",""
"zurich","zurich:CH211>CH261:transit:inbound","CH211","Altikon","CH261","Zürich","transit","inbound","swissInbound","25","FSO commune matrix 2020","missing","28.942088465230984","","","","false","",""
"zurich","zurich:CH211>CH261:soft:inbound","CH211","Altikon","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","28.942088465230984","","","","false","",""
"zurich","zurich:CH4641>CH261:car:inbound","CH4641","Altnau","CH261","Zürich","car","inbound","swissInbound","7","FSO commune matrix 2020","missing","59.601475743629805","","","","false","",""
"zurich","zurich:CH4641>CH261:transit:inbound","CH4641","Altnau","CH261","Zürich","transit","inbound","swissInbound","17","FSO commune matrix 2020","rail","59.601475743629805","90.57662084541161","","","false","",""
