"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason","representedPeople"
"zurich","zurich:CH211>CH261:soft:inbound","CH211","Altikon","CH261","Zürich","soft","inbound","swissInbound","8","FSO commune matrix 2020","missing","28.942088465230984","","","","false","","",""
"zurich","zurich:CH4641>CH261:car:inbound","CH4641","Altnau","CH261","Zürich","car","inbound","swissInbound","4","FSO commune matrix 2020","missing","59.601475743629805","","","","false","","",""
"zurich","zurich:CH4641>CH261:transit:inbound","CH4641","Altnau","CH261","Zürich","transit","inbound","swissInbound","15","FSO commune matrix 2020","rail","59.601475743629805","90.57662084541161","","","false","","","15"
"zurich","zurich:CH4641>CH261:soft:inbound","CH4641","Altnau","CH261","Zürich","soft","inbound","swissInbound","5","FSO commune matrix 2020","missing","59.601475743629805","","","","false","","",""
"zurich","zurich:CH3311>CH261:car:inbound","CH3311","Amden","CH261","Zürich","car","inbound","swissInbound","13","FSO commune matrix 2020","road","53.55257833490375","67.94431119259336","3482.037","0.005110736015263722","false","","",""
"zurich","zurich:CH3311>CH261:transit:inbound","CH3311","Amden","CH261","Zürich","transit","inbound","swissInbound","49","FSO commune matrix 2020","missing","53.55257833490375","","","","false","","",""
"zurich","zurich:CH3311>CH261:soft:inbound","CH3311","Amden","CH261","Zürich","soft","inbound","swissInbound","17","FSO commune matrix 2020","missing","53.55257833490375","","","","false","","",""
"zurich","zurich:CH4881>CH261:car:inbound","CH4881","Amlikon-Bissegg","CH261","Zürich","car","inbound","swissInbound","5","FSO commune matrix 2020","missing","42.5034742638318","","","","false","","",""
"zurich","zurich:CH4881>CH261:transit:inbound","CH4881","Amlikon-Bissegg","CH261","Zürich","transit","inbound","swissInbound","18","FSO commune matrix 2020","missing","42.5034742638318","","","","false","","",""
"zurich","zurich:CH4881>CH261:soft:inbound","CH4881","Amlikon-Bissegg","CH261","Zürich","soft","inbound","swissInbound","6","FSO commune matrix 2020","missing","42.5034742638318","","","","false","","",""
"zurich","zurich:CH4191>CH261:car:inbound","CH4191","Ammerswil","CH261","Zürich","car","inbound","swissInbound","7","FSO commune matrix 2020","missing","25.283918155097357","","","","false","","",""
"zurich","zurich:CH4191>CH261:transit:inbound","CH4191","Ammerswil","CH261","Zürich","transit","inbound","swissInbound","27","FSO commune matrix 2020","missing","25.283918155097357","","","","false","","",""
"zurich","zurich:CH4191>CH261:soft:inbound","CH4191","Ammerswil","CH261","Zürich","soft","inbound","swissInbound","10","FSO commune matrix 2020","missing","25.283918155097357","","","","true","","",""
"zurich","zurich:CH4461>CH261:car:inbound","CH4461","Amriswil","CH261","Zürich","car","inbound","swissInbound","16","FSO commune matrix 2020","road","59.55466731223004","75.18544323344581","4340.309","0.014770503884030839","false","","",""
"zurich","zurich:CH4461>CH261:transit:inbound","CH4461","Amriswil","CH261","Zürich","transit","inbound","swissInbound","61","FSO commune matrix 2020","rail","59.55466731223004","76.33454945844726","","","false","","","61"
"zurich","zurich:CH4461>CH261:soft:inbound","CH4461","Amriswil","CH261","Zürich","soft","inbound","swissInbound","21","FSO commune matrix 2020","missing","59.55466731223004","","","","false","","",""
"zurich","zurich:CH30>CH261:car:inbound","CH30","Andelfingen","CH261","Zürich","car","inbound","swissInbound","20","FSO commune matrix 2020","road","26.272575307670834","35.26662268472744","2153.937","0.03898451750939536","false","","",""
"zurich","zurich:CH30>CH261:transit:inbound","CH30","Andelfingen","CH261","Zürich","transit","inbound","swissInbound","76","FSO commune matrix 2020","missing","26.272575307670834","","","","false","","",""
"zurich","zurich:CH30>CH261:soft:inbound","CH30","Andelfingen","CH261","Zürich","soft","inbound","swissInbound","27","FSO commune matrix 2020","missing","26.272575307670834","","","","false","","",""
"zurich","zurich:CH3441>CH261:car:inbound","CH3441","Andwil (SG)","CH261","Zürich","car","inbound","swissInbound","2","FSO commune matrix 2020","missing","56.175663207506226","","","","false","","",""
"zurich","zurich:CH3441>CH261:transit:inbound","CH3441","Andwil (SG)","CH261","Zürich","transit","inbound","swissInbound","6","FSO commune matrix 2020","missing","56.175663207506226","","","","false","","",""
"zurich","zurich:CH3441>CH261:soft:inbound","CH3441","Andwil (SG)","CH261","Zürich","soft","inbound","swissInbound","2","FSO commune matrix 2020","missing","56.175663207506226","","","","false","","",""
"zurich","zurich:CH2881>CH261:car:inbound","CH2881","Arboldswil","CH261","Zürich","car","inbound","swissInbound","1","FSO commune matrix 2020","missing","62.354274350501065","","","","false","","",""
"zurich","zurich:CH2881>CH261:transit:inbound","CH2881","Arboldswil","CH261","Zürich","transit","inbound","swissInbound","3","FSO commune matrix 2020","missing","62.354274350501065","","","","false","","",""
"zurich","zurich:CH2881>CH261:soft:inbound","CH2881","Arboldswil","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","62.354274350501065","","","","false","","",""
"zurich","zurich:CH2821>CH261:car:inbound","CH2821","Arisdorf","CH261","Zürich","car","inbound","swissInbound","3","FSO commune matrix 2020","missing","60.09833928809457","","","","false","","",""
"zurich","zurich:CH2821>CH261:transit:inbound","CH2821","Arisdorf","CH261","Zürich","transit","inbound","swissInbound","9","FSO commune matrix 2020","missing","60.09833928809457","","","","false","","",""
"zurich","zurich:CH2821>CH261:soft:inbound","CH2821","Arisdorf","CH261","Zürich","soft","inbound","swissInbound","3","FSO commune matrix 2020","missing","60.09833928809457","","","","false","","",""
"zurich","zurich:CH4222>CH261:car:inbound","CH4222","Aristau","CH261","Zürich","car","inbound","swissInbound","19","FSO commune matrix 2020","road","16.516842307012507","27.64880636497247","2118.647","0.002961222533051104","false","","",""
"zurich","zurich:CH4222>CH261:transit:inbound","CH4222","Aristau","CH261","Zürich","transit","inbound","swissInbound","74","FSO commune matrix 2020","missing","16.516842307012507","","","","false","","",""
"zurich","zurich:CH4222>CH261:soft:inbound","CH4222","Aristau","CH261","Zürich","soft","inbound","swissInbound","26","FSO commune matrix 2020","missing","16.516842307012507","","","","true","","",""
"zurich","zurich:CH4061>CH261:car:inbound","CH4061","Arni (AG)","CH261","Zürich","car","inbound","swissInbound","57","FSO commune matrix 2020","road","11.352034518705999","16.81740893080389","1598.516","0.03977630190914353","false","","",""
