"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"zurich","750","0","0","0","181782","107693","27733","27500"
"zurich","755","0","0","0","181729","107640","27733","27492"
"zurich","760","0","0","0","181662","107573","27733","27482"
"zurich","765","0","0","0","181581","107492","27733","27470"
"zurich","770","0","0","0","181486","107397","27733","27455"
"zurich","775","0","0","0","181377","107288","27733","27438"
"zurich","780","0","0","0","181252","107163","27733","27419"
"zurich","785","0","0","0","181110","107021","27733","27398"
"zurich","790","0","0","0","180951","106862","27733","27374"
"zurich","795","0","0","0","180774","106685","27733","27347"
"zurich","800","0","0","0","180577","106488","27733","27317"
"zurich","805","0","0","0","180360","106271","27733","27284"
"zurich","810","0","0","0","180120","106031","27733","27247"
"zurich","815","0","0","0","179856","105767","27733","27207"
"zurich","820","0","0","0","179566","105477","27733","27163"
"zurich","825","0","0","0","179248","105159","27733","27115"
"zurich","830","0","0","0","178901","104812","27733","27062"
"zurich","835","0","0","0","178521","104432","27733","27004"
"zurich","840","0","0","0","178106","104017","27733","26941"
"zurich","845","0","0","0","177655","103566","27733","26873"
"zurich","850","0","0","0","177163","103074","27733","26798"
"zurich","855","0","0","0","176627","102538","27733","26717"
"zurich","860","0","0","0","176045","101956","27733","26628"
"zurich","865","0","0","0","175413","101324","27733","26532"
"zurich","870","0","0","0","174728","100639","27733","26428"
"zurich","875","0","0","0","173984","99895","27733","26315"
"zurich","880","0","0","0","173178","99089","27733","26192"
"zurich","885","0","0","0","172306","98217","27733","26060"
"zurich","890","0","0","0","171363","97274","27733","25916"
"zurich","895","0","0","0","170344","96255","27733","25761"
"zurich","900","0","2129","0","169245","95156","27733","25594"
"zurich","905","26","4210","0","168059","93970","27712","25414"
"zurich","910","103","5967","140","166783","92694","27651","25220"
"zurich","915","232","9149","196","165411","91322","27548","25011"
"zurich","920","412","11183","381","163937","89848","27404","24787"
"zurich","925","641","13131","718","162356","88267","27220","24547"
"zurich","930","907","14512","854","160663","86574","26999","24289"
"zurich","935","1202","15847","1556","158852","84763","26744","24014"
"zurich","940","1514","17559","1747","156920","82831","26455","23720"
"zurich","945","1837","18142","1913","154862","80773","26134","23408"
"zurich","950","2166","18962","2067","152673","78584","25781","23075"
